Black,BlackElo,White,WhiteElo,Date,Event,First Move,Category,Weekday
Walii,1508,MatheusTunico,1500,2019.04.30,Rated Blitz game,c4,Blitz,Tuesday
Vanidad,1499,lucasfreitas,1486,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
acecalamity,1553,MJColdwell,1623,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
vishyanand05,1572,timogen,1925,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/7XMoG4vj,e4,Blitz,Tuesday
tensorextension,1027,baranunallllllll,1072,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Mr-obodavic,1374,aleksandar79,1304,2019.04.30,Rated Bullet game,d3,Bullet,Tuesday
NAME816,1543,karansinha,1337,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/7XMoG4vj,e4,Blitz,Tuesday
alexx85,1699,RachelLaskowski,1716,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
hairlessitalian,1523,XKaanX,1521,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
GeorgesHabitbol,1532,PatxiJulen,1544,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
Srkn38,1303,okayV,1345,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
runner55,1759,Kchessman2015,1338,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/7XMoG4vj,e4,Blitz,Tuesday
Valdobarros,1506,Nyrvana,1511,2019.04.30,Rated Classical game,e4,Classical,Tuesday
lkkkkl,832,xKONGEx,945,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
ARIY7777,2149,MaximZMS,2309,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
sabaaaa,1137,dougbeischel,975,2019.04.30,Rated Classical game,d4,Classical,Tuesday
Alwayshyne,1286,diagramadevenn,1336,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
DaniFL,1568,Alejandro_Senillosa,1635,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
WEEDBOY420,1805,stan_m,1725,2019.04.30,Rated Blitz game,f4,Blitz,Tuesday
itcfbod,1932,Pharmaton,1895,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
DrLukas,1271,Rikoko,1257,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
spicybigmemes,1026,wabourjaili,830,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
slca1234,1763,Imcomingback,1608,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
chiefsakh87,1427,DavidContrera,1354,2019.04.30,Rated Bullet game,Nf3,Bullet,Tuesday
PhillipJFarnsworth,1087,twistedric,1060,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
sbaldi,936,thojon,921,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
Hmd79,1413,Magnus_77,1500,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
fnab,1088,RyanDicus,1113,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
Payne04,2030,lusur,1805,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/toUiqYDi,c4,Blitz,Tuesday
szymonsos,1346,Ixskill,1298,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
centdsutsou42,2036,FeelThePower,2092,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
viravato,2092,snp1903,2004,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
pacoff,2205,The1ThatGotAway,2237,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
PBP1905,1338,MatheusTunico,1329,2019.04.30,Rated Blitz game,c4,Blitz,Tuesday
f355berlinetta,1486,Luisreyesdelosreyes,1470,2019.04.30,Rated Blitz game,b4,Blitz,Tuesday
CQMian,1098,Zzpepe,1163,2019.04.30,Rated Rapid game,Nc3,Rapid,Tuesday
Sinkasparov,1630,shotarealraul,1250,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
bysns,1494,Xhandy,1500,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
itsnemo,1318,enrikasparov,1402,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
bigweenie,1511,continigian46,1322,2019.04.30,Rated Bullet game,f4,Bullet,Tuesday
peladomonge,1066,johnson2777,1040,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
DaleACourville,860,A_Dasein,934,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
nogirlschaseme,935,CowCall,896,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
jaugusto,1236,Brianm77,1229,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
DrDreMate,1658,lypos,1622,2019.04.30,Rated Classical game,e4,Classical,Tuesday
AmericanNews,1108,moontotheswim,1098,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
Bybunalim,1658,larbifion,1602,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
djupp,1401,JEG76,1403,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
LOK55,1189,BrandonBieber,1283,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
alfalfahills,1080,gfmoura,1138,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
mohamedreda333,1897,heydemo,1732,2019.04.30,Rated Blitz game,c4,Blitz,Tuesday
Cjlampert,1898,Ajedrez_Practico,1500,2019.04.30,Rated Classical game,d4,Classical,Tuesday
otmshank,1552,BryanBaxter,1597,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Nooah,2053,UPS_Chess_Club,2084,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
GHALODADA,1225,eaglef2,1221,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
michanizm,2012,BigRedMachine,2125,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Notch9engr,1545,Lubek155,1587,2019.04.30,Rated Classical game,e4,Classical,Tuesday
vahik2,1569,Pegasus11,1639,2019.04.30,Rated Classical game,d4,Classical,Tuesday
vishyanand05,1667,DimaRamone,1945,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/7XMoG4vj,d4,Blitz,Tuesday
kuanweihuang88228,1632,michaelcupp,1664,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
pulsar512b,1420,Titonov,1442,2019.04.30,Rated Bullet game,c4,Bullet,Tuesday
Batata_Presley,1557,TomMcFly,1578,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
chattyp,1223,wannabekasparov,1237,2019.04.30,Rated Blitz game,c4,Blitz,Tuesday
DaviddBalticc_02,1722,Merlys_M20,1733,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
dojiherbs,1571,Krnja,1492,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
mpsw,1274,Alwayshyne,1284,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
ChickoG,1339,MrWayan,1315,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
agusbon3212,1698,Oscarbarraza,1773,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
zaferekadardaima,1026,nestorjair,941,2019.04.30,Rated Blitz game,b4,Blitz,Tuesday
oimerx,836,artur204,912,2019.04.30,Rated Blitz game,a4,Blitz,Tuesday
leprechaun34,1198,chetanator,1101,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
chewym4a2,1295,woopwoop,1248,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
HouseOf9,1667,Petruska0,1676,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
ibrahemelharam,1351,amrhekal,1418,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
billmass,1510,thechampionofsucc,1464,2019.04.30,Rated Blitz game,b3,Blitz,Tuesday
slothmode,1314,The_Eiffel_Flower,1333,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
ChessDragonPrince,1989,Emekashirov,1866,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/wQNEgYqH,e4,Blitz,Tuesday
arielyx,1614,The_kilickara,1591,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
Duxsovi,1766,ahmed7s7,1614,2019.04.30,Rated Classical game,e4,Classical,Tuesday
emirozsoy,1357,khattabjhk,1324,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
amzhassan,1713,HelloChessFriend,1726,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Teeny,1701,Jurocka,1579,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
becedd,1551,onemoreredknightmare,1586,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
SVLINE1,2051,Martha-MM,2066,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/7XMoG4vj,e4,Blitz,Tuesday
rookceps,1880,frundenyjengen,2000,2019.04.30,Rated Blitz tournament https://lichess.org/tournament/7XMoG4vj,e4,Blitz,Tuesday
papidee03,1552,sschere,1492,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
Astier,1452,slopoke_morgan,1492,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
Jkls,1752,JCFER,1591,2019.04.30,Rated Bullet tournament https://lichess.org/tournament/wDoLoKTF,e4,Bullet,Tuesday
Empachers,1933,TOTUSTUUS89,1916,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Dr-Abdullab-Thamer,1156,TechSherman,974,2019.04.30,Rated Classical game,d4,Classical,Tuesday
homonkulus,1497,xPerseu,1500,2019.04.30,Rated Classical game,e4,Classical,Tuesday
Roger257y3,1239,mostafa388,1320,2019.04.30,Rated Blitz game,b3,Blitz,Tuesday
marenostrum1,1878,Souza-RC,1894,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
Jcasino,943,volodyaek,1209,2019.04.30,Rated Blitz game,c4,Blitz,Tuesday
zeziphier,1058,chess_neophyte,1089,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Vidam,1798,QhorinHalbhand,1628,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
ChessSux69,1154,Melik2516,1264,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
WilliamDann,1246,Tiki-Toekie,1220,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
NiklasGerdau,1671,Fridelle,1656,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
attacktheking,1691,ded14,1743,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Amurking,1660,NathanGeovane,1666,2019.04.30,Rated Classical game,e4,Classical,Tuesday
WasArt69,2037,chizzlewit,1946,2019.04.30,Rated Bullet game,c4,Bullet,Tuesday
Sniper_Viktor,1601,imurhuckleberry,1605,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
Darowachin,1475,xmrwhat,1555,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
Titan123,1701,BulletIsAnalCancer,1485,2019.04.30,Rated UltraBullet game,e4,Bullet,Tuesday
Chantilly11,1206,oliverjordan1,1133,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
becksi,954,peacebreak3r,1012,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Doug_Willson,1516,HaptRec,1473,2019.05.01,Rated Classical game,e4,Classical,Wednesday
carlsen_guima,1110,chessnikola,1288,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
atlantisdetarantola,959,NesciO,997,2019.05.01,Rated Bullet game,g3,Bullet,Wednesday
product786,1300,pedroborgess,1252,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
Cherny_Rytsar,2209,pacoff,2218,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
karrrim,1572,Airon8,1844,2019.05.01,Rated Rapid game,d4,Rapid,Wednesday
Alex6662,1351,magnous,1455,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
Xiofang,1066,rockytikkitavi,1110,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
jonsmith16,1214,zeki34,1223,2019.05.01,Rated Blitz game,b3,Blitz,Wednesday
ChessAtNight,1670,Grand-Mpilos,1762,2019.05.01,Rated Rapid game,d4,Rapid,Wednesday
sharpbuns,1334,Alevaspan,1353,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
morpfisch,1510,maistor_tri4ko,1442,2019.05.01,Rated Bullet tournament https://lichess.org/tournament/lzWANwfE,e4,Bullet,Wednesday
garrulle,1311,MrCaligari,1348,2019.05.01,Rated Bullet tournament https://lichess.org/tournament/lzWANwfE,d4,Bullet,Wednesday
Ribit723,1206,mehboy,1115,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
Semyorka,2116,Jupp64,2145,2019.05.01,Rated Blitz game,c3,Blitz,Wednesday
hunter504,1489,mikkel12354,1503,2019.05.01,Rated Classical game,c4,Classical,Wednesday
Pharmaton,1870,juliochess,1945,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
Werdna2016,1670,noddleislander,1643,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
ramanito,1299,ElJoker23,1328,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
ArthurCK,1639,huseyinsahut,1675,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
NoodleIncident,1613,miladsheikhha,1633,2019.05.01,Rated Classical game,e4,Classical,Wednesday
Magnifico_E,1802,Camiil,1779,2019.05.01,Rated Rapid game,d4,Rapid,Wednesday
HightMike,1593,emersonlakeandlagoon,1476,2019.05.01,Rated Classical game,d4,Classical,Wednesday
rutenio11,1531,kiki2325,1362,2019.05.01,Rated Blitz game,a3,Blitz,Wednesday
verdao1965,1478,makzie1,1355,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
cneo21,1667,Biberon,1578,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
kongenavvoss,1115,Golgii,1165,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
joinkers,1013,Zzoro16,1011,2019.05.01,Rated Classical game,e4,Classical,Wednesday
s_manga16,1161,Gurqa,1202,2019.05.01,Rated Classical game,e4,Classical,Wednesday
AwareTenacious2,1708,acecalamity,1550,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
Madeldola,1676,Lomet,1537,2019.05.01,Rated Classical game,e4,Classical,Wednesday
JeanBg,1028,nikiepor,1035,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
Shelena,1990,hawth0rne,2221,2019.05.01,Rated Blitz game,c4,Blitz,Wednesday
flavourgelo,965,mirzasyahmi,994,2019.05.01,Rated Classical game,Nc3,Classical,Wednesday
pherease,926,lockos,887,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
RGSW19,1471,luizbraudes,1429,2019.05.01,Rated Bullet game,d4,Bullet,Wednesday
Naguro,1694,rezavahabi8,1689,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
ElJoker23,1436,onedii,1411,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
cesbenas0,1273,artillero,1267,2019.05.01,Rated Rapid game,d4,Rapid,Wednesday
cy1,1535,dinug,1607,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
BrandonBieber,1166,ashishkapadia,1141,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
inacio0007,1485,Add1x,1369,2019.05.01,Rated Rapid game,d4,Rapid,Wednesday
acrosunset,1561,yalis,1555,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
daengtiro59,1139,Marcinek90,1166,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
yoitsjmoney,1359,arsenios,1427,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
MPJ412,1695,Mesabinks,1561,2019.05.01,Rated Blitz game,b3,Blitz,Wednesday
Lincoln1,1792,alekhyne,1770,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
Amurking,1713,Blahunderfull,1580,2019.05.01,Rated Classical game,e4,Classical,Wednesday
komlanvi,2203,epicandy131313,2316,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
damak,1397,banaburdaiyibakilsin,1392,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
Yaly29,1386,AffectiveElf372,1463,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
carlsen52,1346,nkulevo,1358,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
hemantrathi,1295,ItsGoodPeople,1261,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
mctubby,1583,geniuschess1994,1642,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
saulc07,1117,NotComplicated,1075,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
Professor_Bobr,1586,semaj410,1570,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
Payne04,2183,brotherman1964,1416,2019.05.01,Rated Rapid tournament https://lichess.org/tournament/37jJntkO,d4,Rapid,Wednesday
murphyc270,1216,Melik2516,1260,2019.05.01,Rated Rapid game,d4,Rapid,Wednesday
kracha995,1285,ManaMitchell,1162,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
hus29,1451,mjolnir42,1397,2019.05.01,Rated Rapid game,d3,Rapid,Wednesday
KyleDurr,1199,amazin1983,1154,2019.05.01,Rated Rapid game,d4,Rapid,Wednesday
gongru,1823,MrClownFox,1759,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
victorperson999,1611,churrochess,1429,2019.05.01,Rated UltraBullet game,d4,Bullet,Wednesday
Kristina288,1543,guerrerodial,1541,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
saeidgolmohamadi,1797,Mariscal850,2129,2019.05.01,Rated Rapid tournament https://lichess.org/tournament/37jJntkO,d4,Rapid,Wednesday
Egovv64,2049,marlei,1755,2019.05.01,Rated Blitz tournament https://lichess.org/tournament/kpxwe06y,f4,Blitz,Wednesday
garrulle,1317,d123d,1313,2019.05.01,Rated Bullet tournament https://lichess.org/tournament/lzWANwfE,e4,Bullet,Wednesday
MiniMassimino,1240,badwan94,1240,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
TheAdventMaster,1108,victor_87,1101,2019.05.01,Rated Classical game,d4,Classical,Wednesday
Rosaschweig,1951,sokolovchik,2129,2019.05.01,Rated Bullet tournament https://lichess.org/tournament/QLp882Pw,e4,Bullet,Wednesday
TwiKnight,1882,Passarim,1810,2019.05.01,Rated Classical game,e4,Classical,Wednesday
mack1441,820,MTeles,951,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
fquinonezvillagran,1431,sunny149br,1436,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
QasimArshad,1066,Ironman-is-dead,1051,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
rknop,800,Gesmar,947,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
ahmetduygun,1349,Leonardo1995,1374,2019.05.01,Rated Classical game,d4,Classical,Wednesday
xpto051,1263,mrvostok,1208,2019.05.01,Rated Classical game,e4,Classical,Wednesday
darkestcloud,1343,flamemaster51,1442,2019.05.01,Rated Bullet tournament https://lichess.org/tournament/lzWANwfE,e4,Bullet,Wednesday
nopants182,1298,gachnar,1205,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
DrSkunkenstein,1487,LessThanThree,1608,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
sercawana,1241,jcbstarks,1238,2019.05.01,Rated Rapid game,c4,Rapid,Wednesday
mahsumograk,889,MinimalistMonkey,1118,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
Ahmet1610,1421,Skarveed,1390,2019.05.01,Rated Blitz game,c4,Blitz,Wednesday
kamudhar,880,sammmy123,1132,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
dressrosa7,1051,lucasm145,1043,2019.05.01,Rated Bullet game,c4,Bullet,Wednesday
colonelforbin,1404,Dr-morales,1455,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
MikkiWoolf67,1550,Tony8819,1538,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
TheTmsD,1329,PallasCatManul,1295,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
NimzoBros,2128,soymasmaloqueelsida,1983,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
Gallo_con_Tennis,1374,PitifulMagikarp,1372,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
AliNaji,1200,chessplayercx,1500,2019.05.01,Rated Blitz game,e3,Blitz,Wednesday
yeterikadaroldu,1241,chopa92,1108,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
alexbarnabas,1140,neww553,1190,2019.05.01,Rated Blitz game,Nf3,Blitz,Wednesday
spyhunter357,1253,Gavoh,1215,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
Red_Knight71,1345,sakakis,1232,2019.05.01,Rated Bullet game,d4,Bullet,Wednesday
Chempiblinka,2061,GAGlez60,1815,2019.05.01,Rated Blitz tournament https://lichess.org/tournament/CrluLoX6,d4,Blitz,Wednesday
Hodor08,1689,Pete14Pete,1644,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
Harry_Chimpo,1704,jordanplayschess,1780,2019.05.01,Rated Blitz game,c4,Blitz,Wednesday
hanslanda99,840,alcq,1038,2019.05.01,Rated Bullet game,d4,Bullet,Wednesday
ceratti,1449,Zhokxu_girl-easy,1500,2019.05.01,Rated Blitz game,Nf3,Blitz,Wednesday
Blahunderfull,1593,HightMike,1580,2019.05.01,Rated Classical game,e4,Classical,Wednesday
CrocodileDundee,1731,Mdk57,1838,2019.05.01,Rated Blitz tournament https://lichess.org/tournament/jbJYGxqm,e4,Blitz,Wednesday
naitdawgg,1568,amwhere,1528,2019.05.01,Rated Classical game,e4,Classical,Wednesday
TRCowell,1236,scarboroughfair,2020,2019.05.01,Rated Blitz tournament https://lichess.org/tournament/CrluLoX6,e4,Blitz,Wednesday
surfer_los_pozos,1442,guillee,1501,2019.05.01,Rated Rapid tournament https://lichess.org/tournament/j0K4qoYR,d4,Rapid,Wednesday
MJColdwell,1615,colca1970,1696,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
ChessDrums,1890,beika,1935,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
OfficialMane,1343,jucifel17,1318,2019.05.01,Rated Classical game,d4,Classical,Wednesday
Apoteose,1106,RazGaroth,1121,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
betros20000,1500,Tageto,1490,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
JMP59,1451,shulac,1509,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
Helltruthcom,1981,lengalenga,2122,2019.05.01,Rated Blitz game,a3,Blitz,Wednesday
GracianoX,1405,Prohazka,1417,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
Rafael_Apoliano,1335,jordanhudson,1313,2019.05.01,Rated Classical game,e4,Classical,Wednesday
PedroK08,1471,WFNBB,1500,2019.05.01,Rated Classical game,e4,Classical,Wednesday
Zahid01,1934,Malonda,1833,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
Fiora22,1014,Solaza,1075,2019.05.01,Rated Rapid game,f4,Rapid,Wednesday
JulianBandorf,1169,bemin_dawoud,1171,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
softouch,1596,j_hussen,1859,2019.05.01,Rated Bullet tournament https://lichess.org/tournament/izbUUDuO,e4,Bullet,Wednesday
DDavis77722,996,u01cmi15,986,2019.05.01,Rated Rapid game,d4,Rapid,Wednesday
SeriguelAzul,1993,maestroPDA,1957,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
UselessIdiot,1614,kuririnunesp1,1541,2019.05.01,Rated Classical game,e4,Classical,Wednesday
notcoolnickname,1473,PlayHumblePlease,1478,2019.05.01,Rated Blitz game,c4,Blitz,Wednesday
Peonalacecho,1015,AMachado99,1003,2019.05.01,Rated Blitz game,Nf3,Blitz,Wednesday
SBoticcelli,959,enriquehalves,897,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
Bigadiclee,848,doofuslarge,925,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
gavrilus,1158,DoctorPollito,1013,2019.05.01,Rated Classical game,e4,Classical,Wednesday
MRN990,1223,ankizfss,1198,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
harlejulien97,2071,ogeidyjes,1990,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
pekiradovic,2011,jonhs,1901,2019.05.01,Rated Bullet game,d4,Bullet,Wednesday
ballcat,1512,SasaBelgrade,1557,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
omranbdh,1066,AmicusCuriae,1078,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
Magos_Ordo_Reductor,1555,Baz1l,1579,2019.05.01,Rated Classical game,e4,Classical,Wednesday
elfuzaocabecudo,1372,Diegomauri,1338,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
RCRISTIAN,1125,Abisaicr,1055,2019.05.01,Rated Bullet game,e4,Bullet,Wednesday
DougieB,1629,Danmcgiver05,1613,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
babakao,1014,Eliandrad,971,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
reta2018,1514,m3et,1288,2019.05.01,Rated Rapid game,d4,Rapid,Wednesday
LIEME06,2224,Quaidartois,2031,2019.05.01,Rated Bullet tournament https://lichess.org/tournament/izbUUDuO,c4,Bullet,Wednesday
WightUnderscore,1448,Bafetimbi,1443,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
maluf,1310,panchit015,1310,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
knightmare74,1671,Nikterstein,1655,2019.05.01,Rated Blitz tournament https://lichess.org/tournament/jbJYGxqm,e4,Blitz,Wednesday
jbtorris,1503,GLK23,1556,2019.05.01,Rated Rapid game,c4,Rapid,Wednesday
Axlh_11,1202,wilbito,1158,2019.05.01,Rated Classical game,e4,Classical,Wednesday
Butterfly03,1332,relopezil,1335,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
IRONMANFORTALEZA,1886,predas_fighter,1869,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
lyon18,1439,Manyonero,1480,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
DjTrashCap,1685,msony007,1648,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
cucurbio,1498,zensin,1500,2019.05.01,Rated Blitz game,d4,Blitz,Wednesday
darnell1984,1608,ahvitu,1666,2019.05.01,Rated Rapid game,d4,Rapid,Wednesday
vmakar1,1677,salveee,1470,2019.05.01,Rated Blitz tournament https://lichess.org/tournament/CrluLoX6,d4,Blitz,Wednesday
isyroqi06,1694,sandstoneandsteel,1678,2019.05.01,Rated Classical game,e4,Classical,Wednesday
Ledakov_Alexandr,2311,Maartenols,2200,2019.05.01,Rated Bullet game,d4,Bullet,Wednesday
fuma,1455,brotherman1964,1390,2019.05.01,Rated Rapid tournament https://lichess.org/tournament/37jJntkO,d4,Rapid,Wednesday
GeovanneWolf,1008,TeoOkeefe,1122,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
Miguel_SkinInTheGame,1169,maksnew,944,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
Prestidigitador,1900,Billy-Jiraya,1857,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
bintang12,1239,henry_hcd,1264,2019.05.01,Rated Rapid game,c3,Rapid,Wednesday
thulio,1776,aguagelada,1827,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
Zubatka,1887,Tilgian,1913,2019.05.01,Rated Blitz game,e4,Blitz,Wednesday
mamink,2039,iamgermanshepherd,2022,2019.05.01,Rated Rapid game,e4,Rapid,Wednesday
DudaMyrage,1639,kingdaddy,1693,2019.05.01,Rated Rapid game,d4,Rapid,Wednesday
NewOldLife,1611,marmalades,1113,2019.05.01,Rated Rapid tournament https://lichess.org/tournament/j0K4qoYR,g3,Rapid,Wednesday
xtreamz,1214,dbwagner,1002,2019.05.01,Rated Blitz tournament https://lichess.org/tournament/jbJYGxqm,c4,Blitz,Wednesday
